Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.61,0.01,0.4402740414126305
100% Corpus,2,0.61,0.31,0.45293929412065226
100% Corpus,2,0.61,0.61,0.5023296352536928
100% Corpus,2,0.61,0.9099999999999999,0.5023296352536928
100% Corpus,2,0.61,symmetric,0.5003151209723313
100% Corpus,2,0.9099999999999999,0.01,0.45393949116373933
100% Corpus,2,0.9099999999999999,0.31,0.45119874517593617
100% Corpus,2,0.9099999999999999,0.61,0.4791711003914835
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.4677164802470924
100% Corpus,2,0.9099999999999999,symmetric,0.4612948725669245
100% Corpus,2,symmetric,0.01,0.4362560040657146
100% Corpus,2,symmetric,0.31,0.45325649286719827
100% Corpus,2,symmetric,0.61,0.49953101196138033
100% Corpus,2,symmetric,0.9099999999999999,0.5023296352536927
100% Corpus,2,symmetric,symmetric,0.49850874165008363
100% Corpus,2,asymmetric,0.01,0.381860942104571
100% Corpus,2,asymmetric,0.31,0.30518427648490803
100% Corpus,2,asymmetric,0.61,0.30518427648490803
100% Corpus,2,asymmetric,0.9099999999999999,0.320743797099072
100% Corpus,2,asymmetric,symmetric,0.30518427648490803
100% Corpus,3,0.01,0.01,0.45798932611148785
100% Corpus,3,0.01,0.31,0.470188220130394
100% Corpus,3,0.01,0.61,0.45420336542632617
100% Corpus,3,0.01,0.9099999999999999,0.43730370079634745
100% Corpus,3,0.01,symmetric,0.4419881993254149
100% Corpus,3,0.31,0.01,0.4559673375957054
100% Corpus,3,0.31,0.31,0.4442566634653124
100% Corpus,3,0.31,0.61,0.3700429127104122
100% Corpus,3,0.31,0.9099999999999999,0.3665743812570659
100% Corpus,3,0.31,symmetric,0.4442566634653124
100% Corpus,3,0.61,0.01,0.4550222734798128
100% Corpus,3,0.61,0.31,0.4695351552243781
100% Corpus,3,0.61,0.61,0.4619584515731079
100% Corpus,3,0.61,0.9099999999999999,0.4627724874859435
100% Corpus,3,0.61,symmetric,0.47504509164745645
100% Corpus,3,0.9099999999999999,0.01,0.44581581096411727
100% Corpus,3,0.9099999999999999,0.31,0.48335408851447353
100% Corpus,3,0.9099999999999999,0.61,0.45913529894066224
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4759324683178702
100% Corpus,3,0.9099999999999999,symmetric,0.48335408851447353
100% Corpus,3,symmetric,0.01,0.4559673375957054
100% Corpus,3,symmetric,0.31,0.4300774815662889
100% Corpus,3,symmetric,0.61,0.36964034085590086
100% Corpus,3,symmetric,0.9099999999999999,0.37745569534572504
100% Corpus,3,symmetric,symmetric,0.4300774815662889
100% Corpus,3,asymmetric,0.01,0.42703119692328123
100% Corpus,3,asymmetric,0.31,0.2987095307163035
100% Corpus,3,asymmetric,0.61,0.2799650952755022
100% Corpus,3,asymmetric,0.9099999999999999,0.31995215055432064
100% Corpus,3,asymmetric,symmetric,0.2987095307163035
100% Corpus,4,0.01,0.01,0.4422725155441083
100% Corpus,4,0.01,0.31,0.4282435518038118
100% Corpus,4,0.01,0.61,0.3984127345605465
100% Corpus,4,0.01,0.9099999999999999,0.4080939186205394
100% Corpus,4,0.01,symmetric,0.4520087319200127
100% Corpus,4,0.31,0.01,0.40114535832868725
100% Corpus,4,0.31,0.31,0.383813796044128
100% Corpus,4,0.31,0.61,0.38445754782887837
100% Corpus,4,0.31,0.9099999999999999,0.38583011679281415
100% Corpus,4,0.31,symmetric,0.395734400269553
100% Corpus,4,0.61,0.01,0.4351364610775757
100% Corpus,4,0.61,0.31,0.41328410141814825
100% Corpus,4,0.61,0.61,0.40576266518696275
100% Corpus,4,0.61,0.9099999999999999,0.4270892761476898
100% Corpus,4,0.61,symmetric,0.4237195118208801
100% Corpus,4,0.9099999999999999,0.01,0.44540913721087166
100% Corpus,4,0.9099999999999999,0.31,0.47141730222961314
100% Corpus,4,0.9099999999999999,0.61,0.4533878794951084
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4322271334505743
100% Corpus,4,0.9099999999999999,symmetric,0.473917132377274
100% Corpus,4,symmetric,0.01,0.3985514240785354
100% Corpus,4,symmetric,0.31,0.4089432510514382
100% Corpus,4,symmetric,0.61,0.37602521500086633
100% Corpus,4,symmetric,0.9099999999999999,0.3919610104843395
100% Corpus,4,symmetric,symmetric,0.41301043065429366
100% Corpus,4,asymmetric,0.01,0.3512162530283732
100% Corpus,4,asymmetric,0.31,0.36044033767832284
100% Corpus,4,asymmetric,0.61,0.33826453478884533
100% Corpus,4,asymmetric,0.9099999999999999,0.4567492911138859
100% Corpus,4,asymmetric,symmetric,0.3212420654067949
100% Corpus,5,0.01,0.01,0.44371689261951
100% Corpus,5,0.01,0.31,0.42554415613188556
100% Corpus,5,0.01,0.61,0.41028560026110544
100% Corpus,5,0.01,0.9099999999999999,0.4397142023360486
100% Corpus,5,0.01,symmetric,0.4269891236056454
100% Corpus,5,0.31,0.01,0.38215243865414994
100% Corpus,5,0.31,0.31,0.4269916140000108
100% Corpus,5,0.31,0.61,0.4465267358265087
100% Corpus,5,0.31,0.9099999999999999,0.4094039430265233
100% Corpus,5,0.31,symmetric,0.40056420592811603
100% Corpus,5,0.61,0.01,0.38677550640620373
100% Corpus,5,0.61,0.31,0.35835939030588276
100% Corpus,5,0.61,0.61,0.35809567716760016
100% Corpus,5,0.61,0.9099999999999999,0.3626842111932516
100% Corpus,5,0.61,symmetric,0.37127535129047784
100% Corpus,5,0.9099999999999999,0.01,0.38875997380972815
100% Corpus,5,0.9099999999999999,0.31,0.3986158385358548
100% Corpus,5,0.9099999999999999,0.61,0.3842172858898267
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.40334252184298086
100% Corpus,5,0.9099999999999999,symmetric,0.4088933761493134
100% Corpus,5,symmetric,0.01,0.42400662451695703
100% Corpus,5,symmetric,0.31,0.43716944892073295
100% Corpus,5,symmetric,0.61,0.4337264858269034
100% Corpus,5,symmetric,0.9099999999999999,0.4229439439039682
100% Corpus,5,symmetric,symmetric,0.42534428444808714
100% Corpus,5,asymmetric,0.01,0.3511699244469656
100% Corpus,5,asymmetric,0.31,0.3108021506965758
100% Corpus,5,asymmetric,0.61,0.3743974802686621
100% Corpus,5,asymmetric,0.9099999999999999,0.41956941729947655
100% Corpus,5,asymmetric,symmetric,0.3270386390021921
100% Corpus,6,0.01,0.01,0.4057728992278975
100% Corpus,6,0.01,0.31,0.4076203763087885
100% Corpus,6,0.01,0.61,0.3907663971949489
100% Corpus,6,0.01,0.9099999999999999,0.3774655192565887
